distance,dropoff_latitude,dropoff_longitude,passengers,pickup_latitude,pickup_longitude,pickup_weekday,pickup_month,pickup_monthday,pickup_hour,pickup_minute,pickup_second,dropoff_weekday,dropoff_month,dropoff_monthday,dropoff_hour,dropoff_minute,dropoff_second,store_forward,vendor
0.37,40.77473831,-73.91241455,1,40.77118301,-73.90812683,0,1,4,8,20,47,0,1,4,8,23,20,0,2
1.4,40.75522614,-73.91779327,1,40.77015686,-73.91814423,5,1,9,3,47,34,5,1,9,3,53,58,0,1
0.64,40.7437439,-73.92163849,1,40.74451828,-73.91129303,5,1,9,13,28,12,5,1,9,13,31,45,0,2
0.7,40.78225327,-73.95800781,1,40.79065704,-73.95391846,1,1,12,14,56,33,1,1,12,15,5,1,0,2
4.7,40.71402359,-73.96159363,1,40.67821884,-73.98516083,5,1,9,12,3,28,5,1,9,12,20,49,0,2
17.78,40.64305115,-73.78974915,5,40.7023201,-73.98974609,5,1,2,19,9,5,5,1,2,19,47,35,0,2
0.71,40.7433815,-73.89391327,1,40.7454567,-73.90343475,3,1,21,2,6,3,3,1,21,2,9,47,0,2
1.5,40.69635773,-73.97158051,1,40.68400574,-73.97602081,5,1,16,19,5,23,5,1,16,19,13,59,0,1
0.42,40.85534668,-73.93442535,2,40.85155869,-73.93202972,6,1,3,11,36,56,6,1,3,11,40,10,0,2
0.66,40.75527191,-73.89765167,1,40.74961853,-73.89833832,1,1,26,22,4,19,1,1,26,22,9,13,0,2
1.52,40.68507004,-73.97994232,1,40.68159103,-73.95723724,0,1,11,19,7,30,0,1,11,19,17,42,0,2
6.4,40.78252029,-73.9827652,1,40.85537338,-73.93766022,2,1,20,7,40,47,2,1,20,8,7,12,0,1
5.61,40.75110626,-73.97611237,1,40.70689011,-73.95043945,1,1,19,13,29,50,1,1,19,14,4,29,0,2
4.06,40.85215759,-73.93764496,1,40.8054657,-73.96218872,1,1,12,20,7,26,2,1,13,19,49,15,0,2
1.78,40.68993378,-73.98422241,6,40.68121338,-73.95587158,3,1,7,8,45,47,3,1,7,9,1,53,0,2
0.74,40.87003326,-73.91248322,1,40.87789154,-73.90550232,4,1,29,13,26,25,4,1,29,13,29,48,0,2
